modulation,symbol_rate,ecc,interleaving_depth,snr_db,wow_flutter_wrms_pct,median_raw_ber,median_post_ecc_ber,clean_decode_rate
16QAM,9600,hamming74,1,25,0.04,2.2494e-02,2.4070e-03,0.0
16QAM,9600,hamming74,1,25,0.07,1.0451e-01,3.8483e-02,0.0
16QAM,9600,hamming74,1,25,0.12,2.9276e-01,1.5941e-01,0.0
16QAM,9600,hamming74,1,25,0.25,3.6085e-01,2.0524e-01,0.0
16QAM,9600,hamming74,1,25,0.5,3.7868e-01,1.9189e-01,0.0
16QAM,9600,hamming74,1,30,0.04,3.1235e-04,4.2470e-07,0.0
16QAM,9600,hamming74,1,30,0.07,2.1245e-02,2.3725e-03,0.0
16QAM,9600,hamming74,1,30,0.12,2.1648e-01,1.0906e-01,0.0
16QAM,9600,hamming74,1,30,0.25,3.7209e-01,2.1095e-01,0.0
16QAM,9600,hamming74,1,30,0.5,3.7393e-01,1.9578e-01,0.0
16QAM,9600,hamming74,1,35,0.04,1.0381e-06,5.5739e-12,1.0
16QAM,9600,hamming74,1,35,0.07,2.8288e-04,4.3067e-07,0.0
16QAM,9600,hamming74,1,35,0.12,1.1389e-01,4.3492e-02,0.0
16QAM,9600,hamming74,1,35,0.25,3.7013e-01,1.8815e-01,0.0
16QAM,9600,hamming74,1,35,0.5,3.8362e-01,1.9218e-01,0.0
16QAM,9600,hamming74,1,40,0.04,1.0142e-06,6.0519e-12,1.0
16QAM,9600,hamming74,1,40,0.07,4.1157e-06,8.4292e-11,1.0
16QAM,9600,hamming74,1,40,0.12,2.1952e-02,2.5136e-03,0.0
16QAM,9600,hamming74,1,40,0.25,3.4716e-01,2.0009e-01,0.0
16QAM,9600,hamming74,1,40,0.5,3.6989e-01,2.0631e-01,0.0
16QAM,9600,hamming74,1,45,0.04,1.0574e-06,5.7886e-12,1.0
16QAM,9600,hamming74,1,45,0.07,4.1576e-06,8.3636e-11,1.0
16QAM,9600,hamming74,1,45,0.12,2.9041e-04,4.5460e-07,0.0
16QAM,9600,hamming74,1,45,0.25,3.5314e-01,1.9552e-01,0.0
16QAM,9600,hamming74,1,45,0.5,3.5822e-01,2.0754e-01,0.0
16QAM,9600,hamming74,1,50,0.04,1.0517e-06,5.9815e-12,1.0
16QAM,9600,hamming74,1,50,0.07,4.1265e-06,8.3037e-11,1.0
16QAM,9600,hamming74,1,50,0.12,1.4999e-05,1.0666e-09,0.95
16QAM,9600,hamming74,1,50,0.25,3.5353e-01,1.8180e-01,0.0
16QAM,9600,hamming74,1,50,0.5,3.7830e-01,1.9271e-01,0.0
