run,raw_ber,post_ecc_ber,clean_decode,usable_MB
0,3.9099e-06,8.0256e-11,True,4.9371
1,3.7323e-06,7.3131e-11,True,4.9371
2,3.9871e-06,8.3457e-11,True,4.9371
3,3.6051e-06,6.8232e-11,True,4.9371
4,2.9010e-06,4.4181e-11,True,4.9371
5,2.7998e-06,4.1153e-11,True,4.9371
6,3.5164e-06,6.4918e-11,True,4.9371
7,3.5548e-06,6.6340e-11,True,4.9371
8,2.2869e-06,2.7457e-11,True,4.9371
9,2.4678e-06,3.1971e-11,True,4.9371
10,4.4286e-06,1.0296e-10,True,4.9371
11,3.0874e-06,5.0044e-11,True,4.9371
12,5.0958e-06,1.3632e-10,True,4.9371
13,5.5057e-06,1.5914e-10,True,4.9371
14,3.6754e-06,7.0921e-11,True,4.9371
15,3.7847e-06,7.5201e-11,True,4.9371
16,3.4288e-06,6.1723e-11,True,4.9371
17,5.9292e-06,1.8456e-10,True,4.9371
18,6.1915e-06,2.0125e-10,True,4.9371
19,4.3618e-06,9.9883e-11,True,4.9371
20,2.9409e-06,4.5407e-11,True,4.9371
21,4.4986e-06,1.0625e-10,True,4.9371
22,2.8773e-06,4.3462e-11,True,4.9371
23,4.9254e-06,1.2736e-10,True,4.9371
24,2.6443e-06,3.6709e-11,True,4.9371
25,4.7929e-06,1.2060e-10,True,4.9371
26,3.7728e-06,7.4727e-11,True,4.9371
27,4.4708e-06,1.0493e-10,True,4.9371
28,3.5980e-06,6.7964e-11,True,4.9371
29,1.5668e-06,1.2887e-11,True,4.9371
30,3.5565e-06,6.6406e-11,True,4.9371
31,3.3785e-06,5.9923e-11,True,4.9371
32,4.0193e-06,8.4813e-11,True,4.9371
33,3.2642e-06,5.5938e-11,True,4.9371
34,3.8653e-06,7.8439e-11,True,4.9371
35,4.0355e-06,8.5497e-11,True,4.9371
36,5.2233e-06,1.4323e-10,True,4.9371
37,3.6530e-06,7.0059e-11,True,4.9371
38,4.6152e-06,1.1182e-10,True,4.9371
39,3.3973e-06,6.0594e-11,True,4.9371
